name,PFRID
Travis Kelce,/players/K/KelcTr00.htm
Josh Jacobs,/players/J/JacoJo01.htm
Derrick Henry ,/players/H/HenrDe00.htm
Patrick Mahomes,/players/M/MahoPa00.htm
Josh Allen,/players/A/AlleJo02.htm
Nick Chubb,/players/C/ChubNi00.htm
Stefon Diggs,/players/D/DiggSt00.htm
Justin Jefferson,/players/J/JeffJu00.htm
Jalen Hurts,/players/H/HurtJa00.htm
Davante Adams,/players/A/AdamDa01.htm
Tyreek Hill,/players/H/HillTy00.htm
Austin Ekeler,/players/E/EkelAu00.htm
Saquon Barkley,/players/B/BarkSa00.htm
Joe Burrow,/players/B/BurrJo01.htm
Jaylen Waddle,/players/W/WaddJa00.htm
Jamaal Williams,/players/W/WillJa06.htm
Christian McCaffrey,/players/M/McCaCh01.htm
Cooper Kupp,/players/K/KuppCo00.htm
Lamar Jackson,/players/J/JackLa00.htm
Tony Pollard,/players/P/PollTo00.htm
Aaron Jones,/players/J/JoneAa00.htm
A.J. Brown,/players/B/BrowAJ00.htm
Amari Cooper,/players/C/CoopAm00.htm
Miles Sanders,/players/S/SandMi01.htm
CeeDee Lamb,/players/L/LambCe00.htm
Justin Fields,/players/F/FielJu00.htm
Dalvin Cook,/players/C/CookDa01.htm
Joe Mixon,/players/M/MixoJo00.htm
Christian Kirk,/players/K/KirkCh01.htm
Mark Andrews,/players/A/AndrMa00.htm
Rhamondre Stevenson,/players/S/StevRh00.htm
Taysom Hill,/players/H/HillTa00.htm
Tee Higgins,/players/H/HiggTe00.htm
T.J. Hockenson,/players/H/HockTJ00.htm
Amon-Ra St. Brown,/players/S/StxxAm00.htm
Tyler Lockett,/players/L/LockTy00.htm
Kenneth Walker III,/players/W/WalkKe00.htm
Chris Olave,/players/O/OlavCh00.htm
Brandon Aiyuk,/players/A/AiyuBr00.htm
Terry McLaurin,/players/M/McLaTe00.htm
Gabriel Davis,/players/D/DaviGa01.htm
Ja'Marr Chase,/players/C/ChasJa00.htm
Deebo Samuel,/players/S/SamuDe00.htm
Travis Etienne,/players/E/EtieTr00.htm
Geno Smith,/players/S/SmitGe00.htm
Dallas Goedert,/players/G/GoedDa00.htm
Dameon Pierce,/players/P/PierDa01.htm
Kyler Murray,/players/M/MurrKy00.htm
D.J. Moore,/players/M/MoorD.00.htm
Mike Evans,/players/E/EvanMi00.htm
Zach Ertz,/players/E/ErtzZa00.htm
Curtis Samuel,/players/S/SamuCu00.htm
Garrett Wilson,/players/W/WilsGa00.htm
D.K. Metcalf,/players/M/MetcDK00.htm
George Kittle,/players/K/KittGe00.htm
Leonard Fournette,/players/F/FourLe00.htm
Tyler Boyd,/players/B/BoydTy00.htm
Allen Lazard ,/players/L/LazaAl00.htm
Juwan Johnson,/players/J/JohnJu02.htm
Cole Kmet,/players/K/KmetCo00.htm
Michael Pittman Jr.,/players/P/PittMi01.htm
Jeff Wilson,/players/W/WilsJe01.htm
Antonio Gibson ,/players/G/GibsAn00.htm
Najee Harris,/players/H/HarrNa00.htm
Jonathan Taylor,/players/T/TaylJo02.htm
Justin Herbert,/players/H/HerbJu00.htm
Alvin Kamara,/players/K/KamaAl00.htm
Christian Watson,/players/W/WatsCh00.htm
Ezekiel Elliott,/players/E/ElliEz00.htm
Pat Freiermuth,/players/F/FreiPa00.htm
DeVonta Smith,/players/S/SmitDe07.htm
Tyler Conklin,/players/C/ConkTy00.htm
Trevor Lawrence,/players/L/LawrTr00.htm
Marcus Mariota,/players/M/MariMa01.htm
Daniel Jones,/players/J/JoneDa05.htm
Tory Carter,/players/C/CartTo01.htm
DeAndre Hopkins,/players/H/HopkDe00.htm
